name,de_price,uk_price,nl_price,acceleration_0-100km/h,top_speed,range,efficiency,fastcharge,towing_capacity(kg),availability
BYDHAN,"€70,805",N/A,"€71,490",3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,,Available to order since March 2023
RenaultMegane E-Tech EV60 220hp,"€46,600","£36,995","€42,970",7.4 sec,160 km/h,380 km,158 Wh/km,530 km/h,900,Available to order since April 2022
Rolls-RoyceSpectre,"* €400,000","* £350,000","* €400,000",4.5 sec,250 km/h,465 km,219 Wh/km,540 km/h,,Available to order since October 2023
TeslaModel Y Performance,"€63,667","£59,990","€60,993",3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,1600,Available to order since March 2022
Smart#1,"€42,490","£35,950","€41,395",6.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,1600,Available to order since March 2023
BYDDOLPHIN 60.4 kWh,"€35,990","£30,195","€36,490",7.0 sec,160 km/h,340 km,178 Wh/km,340 km/h,0,Available to order since July 2023
DaciaSpring Electric 45,"€22,550",N/A,"€21,750",19.1 sec,125 km/h,165 km,152 Wh/km,180 km/h,,Available to order since July 2022
TeslaModel S Plaid,"€110,970","* £100,000","€110,993",2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,1600,Available to order since November 2022
BMWi5 eDrive40 Sedan,"€70,200","£74,105","€77,572",6.0 sec,193 km/h,475 km,171 Wh/km,710 km/h,1500,Available to order since May 2023
TeslaModel S Dual Motor,"€95,970","* £85,000","€95,993",3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,1600,Available to order since January 2023
BYDSEAL 82.5 kWh RWD Design,"€47,578","£45,695","€47,990",5.9 sec,180 km/h,500 km,165 Wh/km,550 km/h,,Available to order since September 2023
AudiQ8 e-tron 55 quattro,"€85,300","£77,800","€82,985",5.6 sec,200 km/h,505 km,210 Wh/km,640 km/h,1800,Available to order since December 2022
BMWiX3,"€67,300","£64,165","€71,462",6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,750,Available to order since September 2021
HyundaiIONIQ 6 Long Range AWD,"€61,100","£50,540","€59,395",5.1 sec,185 km/h,440 km,168 Wh/km,1150 km/h,1500,Available to order since November 2022
MGZS EV Long Range,"€37,990","£32,995","€39,885",8.4 sec,175 km/h,370 km,185 Wh/km,420 km/h,500,Available to order since November 2021
BYDTANG,"€71,400",N/A,"€73,300",4.6 sec,180 km/h,360 km,240 Wh/km,330 km/h,1500,Available to order since August 2022
HongqiE-HS9 99 kWh,N/A,N/A,"€79,995",4.9 sec,200 km/h,370 km,243 Wh/km,430 km/h,1500,Available to order since December 2022
KiaEV6 Long Range 2WD,"€51,990","£45,245","€51,995",7.3 sec,185 km/h,410 km,180 Wh/km,1070 km/h,1600,Available to order since October 2021
HyundaiKona Electric 65 kWh,"€47,190","£38,595","€43,995",7.8 sec,170 km/h,390 km,168 Wh/km,400 km/h,750,Available to order since July 2023
TeslaModel Y,"€47,567","£44,990","€45,993",6.9 sec,217 km/h,350 km,164 Wh/km,810 km/h,1600,Available to order since May 2023
ToyotabZ4X FWD,"€47,490","£46,110","€48,995",7.5 sec,160 km/h,340 km,188 Wh/km,510 km/h,750,Available to order since June 2022
AudiQ4 e-tron 40,N/A,"£50,630",N/A,8.5 sec,160 km/h,405 km,189 Wh/km,630 km/h,1000,Available to order since June 2021
BMWiX xDrive50,"€100,100","£102,755","€105,097",4.6 sec,200 km/h,505 km,208 Wh/km,680 km/h,2500,Available to order since November 2021
BMWi4 M50,"€70,800","£71,085","€76,786",3.9 sec,225 km/h,450 km,179 Wh/km,700 km/h,1600,Available to order since November 2021
Peugeote-3008 73 kWh,"€48,650","* £42,000","€48,190",8.7 sec,170 km/h,385 km,190 Wh/km,440 km/h,,Available to order since November 2023
Fiat500e Hatchback 42 kWh,"€34,990","£31,195","€34,490",9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,,Available to order since November 2020
HyundaiIONIQ 6 Long Range 2WD,"€54,000","£47,040","€50,895",7.4 sec,185 km/h,495 km,149 Wh/km,1290 km/h,1500,Available to order since December 2022
RenaultZoe ZE50 R110,"€36,840",N/A,"€34,895",11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,,Available to order since November 2019
BMWi7 xDrive60,"€139,900","£113,970","€145,453",4.7 sec,240 km/h,510 km,199 Wh/km,760 km/h,2000,Available to order since November 2022
VolkswagenID.7 Pro,"€56,995","£55,570","€63,990",6.5 sec,180 km/h,475 km,162 Wh/km,710 km/h,1200,Available to order since August 2023
HyundaiIONIQ 5 Long Range 2WD,"€47,900","£46,945","€52,895",7.3 sec,185 km/h,390 km,190 Wh/km,1020 km/h,1600,Available to order since April 2022
SkodaEnyaq 85,"€48,900","£44,540","€49,990",6.7 sec,180 km/h,455 km,169 Wh/km,680 km/h,1000,Available to order since September 2023
Peugeote-208,"€39,100","£31,595",N/A,8.1 sec,150 km/h,285 km,162 Wh/km,460 km/h,,Available to order since November 2021
CUPRABorn 150 kW - 58 kWh,"€39,370","£36,475","€39,990",7.3 sec,160 km/h,350 km,166 Wh/km,470 km/h,,Available to order since October 2021
BYDDOLPHIN 44.9 kWh Active,"€29,990","* £26,000","€29,990",10.0 sec,150 km/h,255 km,176 Wh/km,260 km/h,,Available to order since July 2023
RenaultTwingo Electric,"€28,000",N/A,"€24,190",12.6 sec,135 km/h,135 km,158 Wh/km,-,,Available to order since November 2020
MGMG4 Electric 51 kWh,"€34,990","£26,995","€32,285",7.7 sec,160 km/h,300 km,169 Wh/km,390 km/h,500,Available to order since October 2022
Citroene-C4,"€36,040","£31,995","€37,830",9.7 sec,150 km/h,290 km,160 Wh/km,460 km/h,,Available to order since November 2021
MiniCooper SE,"€35,700","£32,550","€38,690",7.3 sec,150 km/h,180 km,161 Wh/km,260 km/h,,Available to order since March 2021
MercedesEQA 250+,N/A,"£49,750",N/A,8.6 sec,160 km/h,420 km,168 Wh/km,580 km/h,750,Available to order since June 2022
HyundaiIONIQ 5 N,N/A,"£65,000",N/A,3.4 sec,260 km/h,385 km,208 Wh/km,950 km/h,,Available to order since November 2023
VolkswagenID.3 Pro,"€39,995","£37,115","€44,990",7.3 sec,160 km/h,350 km,166 Wh/km,450 km/h,0,Available to order since March 2023
KiaEV6 GT,"€72,990","£62,645","€69,295",3.5 sec,260 km/h,360 km,206 Wh/km,940 km/h,1800,Available to order since April 2022
BMWi4 eDrive35,"€56,500","£49,995","€59,362",6.0 sec,190 km/h,430 km,156 Wh/km,580 km/h,1600,Available to order since November 2022
JeepAvenger Electric,"€37,000","£35,700","€39,500",9.0 sec,150 km/h,310 km,164 Wh/km,500 km/h,,Available to order since January 2023
KiaEV9 99.8 kWh AWD,"€76,490",N/A,"€71,495",6.0 sec,200 km/h,425 km,226 Wh/km,740 km/h,2500,Available to order since September 2023
Zeekr001 Performance AWD,"€63,970",N/A,"€63,490",3.8 sec,200 km/h,505 km,186 Wh/km,700 km/h,2000,Available to order since September 2023
VolkswagenID. Buzz Pro,"€64,581","£58,915","€66,160",10.2 sec,145 km/h,345 km,223 Wh/km,480 km/h,1000,Available to order since September 2022
VolkswagenID.4 Pro,"€46,335","£46,035","* €52,000",6.7 sec,180 km/h,435 km,177 Wh/km,650 km/h,1000,Available to order since October 2023
Audie-tron GT RS,"€146,050","£119,000","€154,835",3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h,,Available to order since March 2021
Hondae:Ny1,"€47,590","£44,995","€48,750",7.6 sec,160 km/h,335 km,185 Wh/km,300 km/h,,Available to order since June 2023
BMWiX1 eDrive20,"€47,900","£45,465","€48,316",8.3 sec,170 km/h,390 km,166 Wh/km,560 km/h,750,Available to order since September 2023
OpelAstra Electric,"€41,990","£37,795","€39,999",9.2 sec,170 km/h,305 km,167 Wh/km,490 km/h,0,Available to order since June 2023
OpelCorsa-e,N/A,"£33,930",N/A,8.1 sec,150 km/h,295 km,157 Wh/km,470 km/h,,Available to order since November 2021
NissanAriya 87kWh,"€58,990","£44,645","€47,990",7.6 sec,160 km/h,450 km,193 Wh/km,540 km/h,750,Available to order since July 2022
Peugeote-3008 98 kWh Long Range,"* €55,000","* £48,000","* €55,000",9.0 sec,170 km/h,505 km,194 Wh/km,660 km/h,,Availability not found
NissanLeaf,"€33,400","£28,995","€35,090",7.9 sec,144 km/h,235 km,166 Wh/km,230 km/h,,Available to order since March 2022
Smart#1 Brabus,"€48,990","£43,450","€48,895",3.9 sec,180 km/h,315 km,197 Wh/km,490 km/h,1600,Available to order since March 2023
LucidAir Dream Edition R,"€218,000",N/A,"€222,000",2.9 sec,270 km/h,685 km,172 Wh/km,870 km/h,,Available to order since January 2022
LotusEletre,"€95,990","£89,500","€98,690",4.5 sec,250 km/h,495 km,220 Wh/km,1040 km/h,2250,Available to order since March 2023
VolvoEX30 Single Motor,"€36,590","£33,795","€36,795",5.7 sec,180 km/h,280 km,175 Wh/km,430 km/h,1000,Available to order since June 2023
MGMG4 Electric 77 kWh,"€45,990","£36,495","€41,285",6.5 sec,180 km/h,425 km,175 Wh/km,430 km/h,500,Available to order since August 2023
HyundaiIONIQ 5 Standard Range 2WD,"€43,900","£43,445","€49,295",8.5 sec,185 km/h,295 km,183 Wh/km,720 km/h,750,Available to order since July 2021
CUPRABorn 170 kW - 77 kWh,"€46,450","£41,975","€51,990",7.0 sec,160 km/h,450 km,171 Wh/km,630 km/h,,Available to order since March 2022
FiskerOcean One,"€69,950","£60,880",N/A,3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,1820,Available to order since March 2023
VolkswagenID.7 Pro S,"* €60,000","* £59,000","* €68,000",7.0 sec,180 km/h,520 km,165 Wh/km,800 km/h,,Availability not found
SubaruSolterra AWD,"€57,490","£49,995","€56,395",6.9 sec,160 km/h,320 km,200 Wh/km,480 km/h,750,Available to order since June 2022
MGMG4 Electric XPOWER,"€46,990","£36,495","€42,285",3.8 sec,200 km/h,320 km,193 Wh/km,560 km/h,500,Available to order since August 2023
Smart#3,"€43,490","* £37,000","* €42,500",6.7 sec,180 km/h,355 km,175 Wh/km,550 km/h,1600,Availability not found
MazdaMX-30,"€35,990","£31,250","€36,440",9.7 sec,140 km/h,170 km,176 Wh/km,210 km/h,,Available to order since May 2022
Polestar4 Long Range Dual Motor,"* €65,000","* £60,000","* €65,000",3.8 sec,200 km/h,465 km,202 Wh/km,690 km/h,2000,Availability not found
Polestar2 Long Range Single Motor,"€54,475","£48,950","€55,200",6.2 sec,205 km/h,470 km,168 Wh/km,700 km/h,1500,Available to order since January 2023
Zeekr001 Long Range RWD,"€60,970",N/A,"€60,490",7.2 sec,200 km/h,530 km,177 Wh/km,740 km/h,1500,Available to order since September 2023
MGMG5 Electric Long Range,"€38,490","£30,995","€38,885",7.7 sec,185 km/h,335 km,171 Wh/km,330 km/h,500,Available to order since March 2022
OpelMokka-e,"€40,650","£38,835","€39,749",9.2 sec,150 km/h,260 km,178 Wh/km,420 km/h,,Available to order since November 2021
LexusRZ 450e,"€68,000","£64,500","€67,495",5.6 sec,160 km/h,320 km,200 Wh/km,480 km/h,750,Available to order since February 2023
FiskerOcean Ultra,"€57,000","£49,880","€58,990",4.2 sec,200 km/h,535 km,199 Wh/km,640 km/h,1820,Available to order since March 2023
TeslaModel X Dual Motor,"€100,970","* £105,000","€100,993",3.9 sec,250 km/h,475 km,200 Wh/km,660 km/h,2250,Available to order since January 2023
RenaultZoe ZE50 R135,"€37,840","£29,995","€36,195",9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,,Available to order since November 2019
SkodaEnyaq Coupe 85,"€51,150","£46,440","€52,990",6.7 sec,180 km/h,485 km,159 Wh/km,720 km/h,1000,Available to order since September 2023
NIOET7 75 kWh,"€81,900",N/A,"€84,900",3.8 sec,200 km/h,400 km,176 Wh/km,540 km/h,2000,Available to order since October 2022
Peugeote-308,"€44,765","* £42,025","€43,585",9.8 sec,170 km/h,300 km,169 Wh/km,450 km/h,,Available to order since April 2023
MercedesEQB 250+,"€53,514",N/A,"€54,966",8.9 sec,160 km/h,415 km,170 Wh/km,560 km/h,1400,Available to order since October 2023
VolvoEX30 Twin Motor Performance,"€48,490","£40,995","€49,995",3.6 sec,180 km/h,360 km,178 Wh/km,540 km/h,1600,Available to order since June 2023
MercedesEQB 350 4MATIC,N/A,"£56,810",N/A,6.2 sec,160 km/h,340 km,196 Wh/km,490 km/h,,Available to order since February 2022
HyundaiIONIQ 5 Long Range AWD,"€59,200","£50,445","€60,995",5.1 sec,185 km/h,385 km,192 Wh/km,1010 km/h,1600,Available to order since April 2022
BMWi5 M60 xDrive Sedan,"€99,500","£97,745","€108,427",3.8 sec,230 km/h,425 km,191 Wh/km,630 km/h,2000,Available to order since May 2023
KiaEV6 Long Range AWD,"€55,980","£51,745","€57,995",5.2 sec,185 km/h,400 km,185 Wh/km,1050 km/h,1600,Available to order since October 2021
HyundaiKona Electric 39 kWh,"€36,400",N/A,N/A,9.9 sec,155 km/h,245 km,160 Wh/km,210 km/h,,Available to order since June 2021
MercedesEQS 450+,"€109,551",N/A,"€112,720",6.1 sec,210 km/h,635 km,171 Wh/km,950 km/h,750,Available to order since June 2023
HyundaiIONIQ 6 Standard Range 2WD,"€43,900",N/A,"€45,895",8.8 sec,185 km/h,365 km,148 Wh/km,900 km/h,750,Available to order since January 2023
AudiQ8 e-tron Sportback 55 quattro,"€87,550","£80,300","€85,385",5.6 sec,200 km/h,525 km,202 Wh/km,660 km/h,1800,Available to order since December 2022
VolvoXC40 Recharge Single Motor ER,"€53,000",N/A,"€51,495",7.3 sec,180 km/h,405 km,195 Wh/km,600 km/h,1500,Available to order since December 2022
Fiat600e,"€36,490","* £31,000","€35,990",9.0 sec,150 km/h,305 km,167 Wh/km,490 km/h,,Available to order since July 2023
MaxusMIFA 9,"€68,990","£65,290",N/A,9.2 sec,180 km/h,365 km,230 Wh/km,330 km/h,1000,Available to order since February 2023
Citroene-C4 X,"€37,540","£31,995","€38,680",9.7 sec,150 km/h,285 km,162 Wh/km,460 km/h,,Available to order since November 2022
BMWiX M60,"€136,100","£122,775","€138,383",3.8 sec,250 km/h,485 km,217 Wh/km,650 km/h,2500,Available to order since April 2022
VolvoXC40 Recharge Twin Motor,"€59,950","£51,755","€59,995",4.8 sec,180 km/h,390 km,203 Wh/km,580 km/h,1800,Available to order since December 2022
MercedesEQB 300 4MATIC,N/A,"£55,310",N/A,8.0 sec,160 km/h,340 km,196 Wh/km,490 km/h,,Available to order since February 2022
VolkswagenID.5 Pro,"€48,970","£50,940","* €56,000",6.7 sec,180 km/h,455 km,169 Wh/km,680 km/h,1000,Available to order since October 2023
MGMarvel R,"€46,990",N/A,"€49,485",7.9 sec,200 km/h,365 km,192 Wh/km,400 km/h,750,Available to order since October 2021
ZeekrX Privilege AWD,"€50,470",N/A,"€50,490",3.8 sec,180 km/h,350 km,183 Wh/km,520 km/h,1600,Available to order since October 2023
NIOET5 100 kWh,"€68,500",N/A,"€71,700",4.0 sec,200 km/h,500 km,180 Wh/km,520 km/h,1400,Available to order since December 2022
Polestar4 Long Range Single Motor,"* €60,000","* £55,000","* €60,000",7.4 sec,180 km/h,495 km,190 Wh/km,740 km/h,1500,Availability not found
TeslaModel X Plaid,"€115,970","* £120,000","€115,993",2.6 sec,262 km/h,455 km,209 Wh/km,630 km/h,2250,Available to order since November 2022
Audie-tron GT quattro,"€106,050","£87,800","€111,115",4.1 sec,245 km/h,420 km,202 Wh/km,1030 km/h,,Available to order since March 2021
NissanLeaf e+,"€41,100","£34,945","€41,890",6.9 sec,157 km/h,340 km,174 Wh/km,240 km/h,,Available to order since March 2022
BMWiX2 xDrive30,"€56,500","£57,445","€59,350",5.6 sec,180 km/h,380 km,170 Wh/km,550 km/h,1200,Available to order since October 2023
ToyotabZ4X AWD,"€57,390","£52,510","€59,995",6.9 sec,160 km/h,315 km,203 Wh/km,470 km/h,750,Available to order since June 2022
MercedesEQA 250,"€50,777",N/A,N/A,8.6 sec,160 km/h,405 km,164 Wh/km,580 km/h,1500,Available to order since October 2023
VolvoXC40 Recharge Single Motor,"€47,500","£46,505","€45,995",7.3 sec,180 km/h,345 km,191 Wh/km,420 km/h,1500,Available to order since December 2022
Smart#3 Brabus,"€50,990","* £45,000","* €51,000",3.7 sec,180 km/h,330 km,188 Wh/km,510 km/h,1600,Availability not found
MercedesEQE 350+,N/A,N/A,"€82,028",6.4 sec,210 km/h,530 km,171 Wh/km,790 km/h,750,Available to order since June 2023
MGMarvel R Performance,"€50,990",N/A,"€52,485",4.9 sec,200 km/h,350 km,200 Wh/km,380 km/h,750,Available to order since October 2021
KiaEV9 99.8 kWh RWD,"€72,490","£64,995","€67,995",9.4 sec,185 km/h,450 km,213 Wh/km,780 km/h,900,Available to order since June 2023
DaciaSpring Electric 65 Extreme,"€24,550",N/A,"€23,400",13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,,Available to order since January 2023
XPENGG9 RWD Standard Range,N/A,N/A,"€59,188",6.4 sec,200 km/h,400 km,190 Wh/km,840 km/h,1500,Available to order since February 2023
Peugeote-308 SW,"€45,765","* £38,000","€44,875",9.0 sec,150 km/h,300 km,169 Wh/km,450 km/h,,Available to order since August 2023
VolkswagenID.3 Pro S - 4 Seats,"€47,595","£42,870","€47,990",7.9 sec,160 km/h,455 km,169 Wh/km,680 km/h,0,Available to order since March 2023
MercedesEQV 300 Long,"€71,626","£87,995","€83,617",12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,,Available to order since September 2020
AudiQ4 e-tron 45,"€52,950",N/A,"€54,865",6.7 sec,180 km/h,420 km,183 Wh/km,630 km/h,1200,Available to order since September 2023
MercedesEQS SUV 580 4MATIC,"€135,434","£139,470",N/A,4.6 sec,210 km/h,485 km,224 Wh/km,720 km/h,1800,Available to order since December 2022
AudiQ8 e-tron 50 quattro,"€74,400","£67,800","€71,385",6.0 sec,200 km/h,425 km,209 Wh/km,660 km/h,1800,Available to order since December 2022
Polestar2 Standard Range Single Motor,"€50,775","£44,950","€51,200",6.4 sec,205 km/h,405 km,165 Wh/km,480 km/h,1500,Available to order since January 2023
LucidAir Grand Touring,"€159,000",N/A,"€165,000",3.0 sec,270 km/h,665 km,168 Wh/km,840 km/h,,Available to order since February 2023
SkodaEnyaq 60,"€44,200","£38,970","€44,990",8.7 sec,160 km/h,340 km,171 Wh/km,460 km/h,1000,Available to order since September 2023
XPENGG9 RWD Long Range,N/A,N/A,"€63,188",6.4 sec,200 km/h,480 km,194 Wh/km,1000 km/h,1500,Available to order since February 2023
HongqiE-HS9 84 kWh,N/A,N/A,"€69,995",6.5 sec,200 km/h,320 km,239 Wh/km,440 km/h,1500,Available to order since December 2022
RenaultMegane E-Tech EV40 130hp,"€42,000",N/A,"€38,370",10.0 sec,150 km/h,260 km,154 Wh/km,370 km/h,500,Available to order since April 2022
XPENGP7 Wing Edition,N/A,N/A,"€71,188",4.1 sec,200 km/h,465 km,178 Wh/km,650 km/h,,Available to order since February 2023
SsangYongKorando e-Motion,"€40,490",N/A,"€39,990",8.5 sec,156 km/h,290 km,193 Wh/km,330 km/h,1500,Available to order since February 2022
AudiQ4 e-tron 50 quattro,N/A,"£57,010",N/A,6.2 sec,180 km/h,385 km,199 Wh/km,550 km/h,1200,Available to order since July 2021
FiskerOcean Sport,"€41,560","£35,970","€43,990",7.4 sec,160 km/h,380 km,197 Wh/km,480 km/h,1090,Available to order since March 2023
MGZS EV Standard Range,"€33,990","£30,495","€35,885",8.6 sec,175 km/h,265 km,185 Wh/km,250 km/h,500,Available to order since November 2021
FordMustang Mach-E ER RWD,"€58,500","* £53,000","€59,400",7.0 sec,180 km/h,480 km,190 Wh/km,420 km/h,1500,Available to order since October 2023
Polestar2 Long Range Dual Motor,"€58,775","£52,950","€59,900",4.5 sec,205 km/h,450 km,176 Wh/km,670 km/h,1500,Available to order since January 2023
Peugeote-2008 54 kWh,"€40,050","£36,350","€41,420",9.1 sec,150 km/h,300 km,169 Wh/km,480 km/h,,Available to order since July 2023
RenaultKangoo E-Tech Electric,"€39,300",N/A,N/A,12.6 sec,132 km/h,220 km,205 Wh/km,230 km/h,1500,Available to order since December 2022
MercedesEQS SUV 450+,"€110,801",N/A,N/A,6.7 sec,210 km/h,500 km,217 Wh/km,750 km/h,750,Available to order since December 2022
OpelCorsa Electric 51 kWh,"€38,045","£35,475","€37,999",8.1 sec,150 km/h,315 km,153 Wh/km,490 km/h,,Available to order since July 2023
CUPRATavascan VZ,"* €58,000","* £55,000","* €60,000",5.6 sec,180 km/h,430 km,179 Wh/km,640 km/h,,Availability not found
Polestar3 Long Range Dual motor,"€88,600","£79,900","€89,900",5.0 sec,210 km/h,490 km,218 Wh/km,640 km/h,2200,Available to order since November 2022
RenaultMegane E-Tech EV60 130hp,"€47,000",N/A,"€43,970",10.5 sec,150 km/h,380 km,158 Wh/km,530 km/h,500,Available to order since April 2022
SkodaEnyaq 85x,"€51,150","£48,605",N/A,6.6 sec,180 km/h,440 km,175 Wh/km,660 km/h,1000,Available to order since September 2023
KiaEV9 99.8 kWh AWD GT-Line,"€82,380","£73,245","€78,895",5.3 sec,200 km/h,415 km,231 Wh/km,720 km/h,2500,Available to order since June 2023
NIOEL7 100 kWh,"€94,900",N/A,"€97,900",3.9 sec,200 km/h,430 km,209 Wh/km,450 km/h,2000,Available to order since December 2022
JaguarI-Pace EV400,"€92,400","£69,995","€95,450",4.8 sec,200 km/h,380 km,223 Wh/km,360 km/h,750,Available to order since January 2023
NissanAriya 63kWh,"€47,490","£39,645","€44,990",7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,750,Available to order since July 2022
MiniCooper SE,"€36,900","£34,500","€38,990",6.7 sec,170 km/h,310 km,158 Wh/km,440 km/h,,Available to order since November 2023
VolkswagenID.4 Pure,"€40,335",N/A,"* €43,000",9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,1000,Available to order since October 2023
VolvoC40 Recharge Twin Motor,"€61,400","£53,605","€61,495",4.7 sec,180 km/h,400 km,198 Wh/km,600 km/h,1800,Available to order since December 2022
MercedesEQE 300,"€67,187","£68,810","€69,928",7.3 sec,210 km/h,525 km,170 Wh/km,660 km/h,750,Available to order since June 2023
VinFastVF 9 Extended Range,"€89,790",N/A,"€91,300",6.5 sec,200 km/h,520 km,237 Wh/km,520 km/h,,Availability not found
LucidAir Dream Edition P,"€218,000",N/A,"€222,000",2.7 sec,270 km/h,665 km,177 Wh/km,840 km/h,,Available to order since January 2022
MercedesEQE SUV 500 4MATIC,"€99,841",N/A,"€116,755",4.9 sec,210 km/h,455 km,211 Wh/km,630 km/h,1800,Available to order since October 2023
NIOET7 100 kWh,"€90,900",N/A,"€93,900",3.8 sec,200 km/h,505 km,178 Wh/km,530 km/h,2000,Available to order since October 2022
FiskerOcean Extreme,"€69,950","£60,880","€63,590",3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,1820,Available to order since March 2023
ORAFunky Cat 48 kWh,"€38,990","£31,995",N/A,8.3 sec,160 km/h,260 km,175 Wh/km,240 km/h,,Available to order since November 2022
VolvoC40 Recharge Single Motor ER,"€54,450",N/A,"€52,995",7.3 sec,180 km/h,420 km,188 Wh/km,630 km/h,1500,Available to order since December 2022
Citroene-C4 X 54 kWh,"€41,540",N/A,"€40,680",10.0 sec,150 km/h,330 km,154 Wh/km,470 km/h,,Available to order since June 2023
KiaEV6 Standard Range 2WD,"€46,990",N/A,"€45,995",8.5 sec,185 km/h,305 km,177 Wh/km,750 km/h,750,Available to order since October 2021
BYDDOLPHIN 44.9 kWh Boost,"€32,740","* £28,500","€32,990",8.0 sec,160 km/h,255 km,176 Wh/km,260 km/h,,Available to order since July 2023
BMWi7 eDrive50,"€115,700","£100,205","€122,463",5.5 sec,205 km/h,520 km,196 Wh/km,780 km/h,,Available to order since May 2023
VoyahFree 106 kWh,N/A,N/A,"€74,150",4.4 sec,200 km/h,480 km,208 Wh/km,360 km/h,2000,Available to order since November 2023
MaseratiGranTurismo Folgore,"* €250,000","* £200,000","* €250,000",2.7 sec,320 km/h,425 km,195 Wh/km,990 km/h,,Availability not found
MercedesEQE SUV 350 4MATIC,N/A,"£90,560",N/A,6.6 sec,210 km/h,425 km,209 Wh/km,540 km/h,1800,Available to order since December 2022
NIOET5 Touring 100 kWh,"€68,500",N/A,"€72,900",4.0 sec,200 km/h,485 km,186 Wh/km,500 km/h,1400,Available to order since July 2023
MercedesEQA 250+,"€52,205","* £50,000","€52,546",8.6 sec,160 km/h,430 km,164 Wh/km,600 km/h,1500,Available to order since October 2023
VolvoEX90 Twin Motor,"€105,550","£96,255","€88,995",5.9 sec,180 km/h,465 km,230 Wh/km,610 km/h,2200,Available to order since December 2022
SkodaEnyaq Coupe RS,"€63,300","£54,820","€63,690",5.5 sec,180 km/h,455 km,169 Wh/km,680 km/h,1200,Available to order since September 2023
SkodaEnyaq Coupe 85x,"€53,400","£50,305",N/A,6.6 sec,180 km/h,470 km,164 Wh/km,700 km/h,1200,Available to order since September 2023
LotusEletre R,"€150,990","£120,000","€154,090",2.9 sec,260 km/h,455 km,240 Wh/km,950 km/h,2250,Available to order since March 2023
OpelAstra Sports Tourer Electric,"€43,490","£39,995","€41,499",9.3 sec,170 km/h,300 km,169 Wh/km,480 km/h,0,Available to order since October 2023
XPENGG9 AWD Performance,N/A,N/A,"€73,188",3.9 sec,200 km/h,465 km,200 Wh/km,970 km/h,1500,Available to order since February 2023
XPENGP7 RWD Long Range,N/A,N/A,"€51,188",6.7 sec,200 km/h,495 km,167 Wh/km,690 km/h,,Available to order since February 2023
